content,identifier,color,fileheader,width,height,align,ifThumbnail
4.png/데이터를 더블 클릭 시 이미지를 조회할 수 있다,content,#FF6F61,f/MyDataGrid.js,450,,,
3.png,content,#34568B,l/한 데이터 조회화면 예시,450,,,
